Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	1.356450e+06
4.900000e-02	1.351831e+06
1.000000e-01	1.370831e+06
1.480000e-01	1.349517e+06
1.990000e-01	1.361842e+06
2.490000e-01	1.338090e+06
2.990000e-01	1.361739e+06
3.490000e-01	1.359586e+06
4.120000e-01	1.366195e+06
4.500000e-01	1.361563e+06
5.000000e-01	1.360612e+06
5.500000e-01	1.359152e+06
6.000000e-01	1.354517e+06
6.500000e-01	1.364699e+06
6.990000e-01	1.360248e+06
7.500000e-01	1.361239e+06
8.000000e-01	1.351790e+06
8.500000e-01	1.349388e+06
9.000000e-01	1.362170e+06
9.500000e-01	1.361678e+06
1.000000e+00	1.348540e+06
1.053000e+00	1.360023e+06
1.100000e+00	1.355692e+06
1.152000e+00	1.363742e+06
1.201000e+00	1.355554e+06
1.251000e+00	1.357289e+06
1.301000e+00	1.358555e+06
1.351000e+00	1.365825e+06
1.401000e+00	1.350197e+06
1.451000e+00	1.349473e+06
1.502000e+00	1.363029e+06
1.552000e+00	1.364858e+06
1.601000e+00	1.359063e+06
1.652000e+00	1.349216e+06
1.702000e+00	1.360622e+06
1.752000e+00	1.357141e+06
1.802000e+00	1.368446e+06
1.852000e+00	1.355116e+06
1.902000e+00	1.368159e+06
1.954000e+00	1.351984e+06
2.004000e+00	1.361122e+06
2.053000e+00	1.354811e+06
2.102000e+00	1.368449e+06
2.153000e+00	1.367498e+06
2.203000e+00	1.357277e+06
2.253000e+00	1.360273e+06
2.303000e+00	1.347411e+06
2.353000e+00	1.371860e+06
2.403000e+00	1.361208e+06
2.453000e+00	1.363561e+06
2.504000e+00	1.351372e+06
2.554000e+00	1.361086e+06
2.604000e+00	1.295711e+06
2.654000e+00	1.314415e+06
2.703000e+00	1.308675e+06
2.754000e+00	1.320887e+06
2.804000e+00	1.324737e+06
2.854000e+00	1.325929e+06
2.905000e+00	1.329432e+06
2.954000e+00	1.334166e+06
3.004000e+00	1.334324e+06
3.054000e+00	1.335951e+06
3.104000e+00	1.342480e+06
3.154000e+00	1.341000e+06
3.204000e+00	1.340326e+06
3.255000e+00	1.335473e+06
3.305000e+00	1.347274e+06
3.354000e+00	1.336415e+06
3.405000e+00	1.355602e+06
3.456000e+00	1.332643e+06
3.505000e+00	1.359849e+06
3.555000e+00	1.339499e+06
3.605000e+00	1.310113e+06
3.655000e+00	1.299494e+06
3.705000e+00	1.301974e+06
3.755000e+00	1.302272e+06
3.806000e+00	1.319631e+06
3.856000e+00	1.305542e+06
3.906000e+00	1.325506e+06
3.956000e+00	1.313803e+06
4.007000e+00	1.317662e+06
4.057000e+00	1.337561e+06
4.106000e+00	1.329028e+06
4.156000e+00	1.336951e+06
4.206000e+00	1.328223e+06
4.256000e+00	1.337799e+06
4.309000e+00	1.335591e+06
4.356000e+00	1.348042e+06
4.406000e+00	1.326485e+06
4.457000e+00	1.340606e+06
4.507000e+00	1.333335e+06
4.557000e+00	1.342006e+06
4.607000e+00	1.286459e+06
4.657000e+00	1.300817e+06
4.707000e+00	1.294038e+06
4.757000e+00	1.326954e+06
4.807000e+00	1.303758e+06
4.857000e+00	1.308981e+06
4.907000e+00	1.314657e+06
4.958000e+00	1.317135e+06
5.008000e+00	1.325637e+06
5.058000e+00	1.318692e+06
5.108000e+00	1.329827e+06
5.159000e+00	1.324847e+06
5.208000e+00	1.340319e+06
5.258000e+00	1.324394e+06
5.308000e+00	1.338520e+06
5.358000e+00	1.325378e+06
5.409000e+00	1.336062e+06
5.458000e+00	1.330371e+06
5.509000e+00	1.336150e+06
5.559000e+00	1.338435e+06
5.609000e+00	1.271713e+06
5.660000e+00	1.285700e+06
5.709000e+00	1.296006e+06
5.760000e+00	1.288968e+06
5.809000e+00	1.307235e+06
5.860000e+00	1.309655e+06
5.909000e+00	1.311067e+06
5.960000e+00	1.309503e+06
6.010000e+00	1.293634e+06
6.060000e+00	1.325883e+06
6.109000e+00	1.320724e+06
6.159000e+00	1.321759e+06
6.210000e+00	1.306415e+06
6.260000e+00	1.315061e+06
6.311000e+00	1.321517e+06
6.360000e+00	1.329001e+06
6.410000e+00	1.321145e+06
6.504000e+00	1.330574e+06
6.511000e+00	1.323774e+06
6.561000e+00	1.344902e+06
6.611000e+00	1.266195e+06
6.661000e+00	1.278174e+06
6.711000e+00	1.289919e+06
6.762000e+00	1.289234e+06
6.811000e+00	1.290761e+06
6.861000e+00	1.290937e+06
6.912000e+00	1.302627e+06
6.962000e+00	1.307955e+06
7.012000e+00	1.307264e+06
7.062000e+00	1.306658e+06
7.112000e+00	1.311261e+06
7.163000e+00	1.306587e+06
7.212000e+00	1.317772e+06
7.262000e+00	1.321079e+06
7.312000e+00	1.324028e+06
7.362000e+00	1.315057e+06
7.412000e+00	1.305378e+06
7.463000e+00	1.305153e+06
7.513000e+00	1.319673e+06
7.562000e+00	1.337883e+06
7.612000e+00	1.255754e+06
7.662000e+00	1.275126e+06
7.713000e+00	1.271343e+06
7.763000e+00	1.281159e+06
7.813000e+00	1.287896e+06
7.863000e+00	1.292841e+06
