Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	1.910025e+06
3.800000e-02	1.901129e+06
8.800000e-02	1.905725e+06
1.380000e-01	1.892772e+06
1.870000e-01	1.908225e+06
2.370000e-01	1.899035e+06
2.880000e-01	1.910128e+06
3.370000e-01	1.899410e+06
3.880000e-01	1.906664e+06
4.380000e-01	1.894368e+06
4.880000e-01	1.905936e+06
5.390000e-01	1.901230e+06
5.890000e-01	1.909639e+06
6.380000e-01	1.904258e+06
6.890000e-01	1.903479e+06
7.390000e-01	1.903691e+06
7.890000e-01	1.901356e+06
8.390000e-01	1.908292e+06
8.890000e-01	1.902869e+06
9.390000e-01	1.908875e+06
9.890000e-01	1.896422e+06
1.040000e+00	1.900510e+06
1.091000e+00	1.896483e+06
1.140000e+00	1.911520e+06
1.190000e+00	1.901813e+06
1.240000e+00	1.912106e+06
1.290000e+00	1.899599e+06
1.340000e+00	1.907471e+06
1.391000e+00	1.900124e+06
1.440000e+00	1.913123e+06
1.523000e+00	1.905408e+06
1.541000e+00	1.906466e+06
1.590000e+00	1.906052e+06
1.641000e+00	1.901304e+06
1.691000e+00	1.904457e+06
1.741000e+00	1.905224e+06
1.791000e+00	1.910686e+06
1.841000e+00	1.903645e+06
1.890000e+00	1.906086e+06
1.950000e+00	1.900881e+06
1.991000e+00	1.910864e+06
2.041000e+00	1.904180e+06
2.091000e+00	1.909574e+06
2.142000e+00	1.903208e+06
2.192000e+00	1.902161e+06
2.242000e+00	1.902921e+06
2.292000e+00	1.898915e+06
2.344000e+00	1.877593e+06
2.392000e+00	1.873034e+06
2.442000e+00	1.873429e+06
2.493000e+00	1.883388e+06
2.543000e+00	1.887045e+06
2.593000e+00	1.890357e+06
2.642000e+00	1.895613e+06
2.692000e+00	1.888137e+06
2.743000e+00	1.899968e+06
2.793000e+00	1.893060e+06
2.843000e+00	1.893241e+06
2.893000e+00	1.900755e+06
2.987000e+00	1.902371e+06
2.994000e+00	1.903609e+06
3.043000e+00	1.898103e+06
3.093000e+00	1.907611e+06
3.143000e+00	1.904680e+06
3.193000e+00	1.907608e+06
3.244000e+00	1.903613e+06
3.294000e+00	1.903512e+06
3.343000e+00	1.871594e+06
3.394000e+00	1.870727e+06
3.444000e+00	1.864252e+06
3.494000e+00	1.883574e+06
3.544000e+00	1.877223e+06
3.595000e+00	1.890012e+06
3.644000e+00	1.885596e+06
3.699000e+00	1.896228e+06
3.745000e+00	1.895736e+06
3.794000e+00	1.897744e+06
3.845000e+00	1.894979e+06
3.895000e+00	1.896264e+06
3.945000e+00	1.900486e+06
