Elapsed Time (Seconds)	Centroid Row (Pixels)
0.000000e+00	1.754518e+02
5.000000e-02	1.754457e+02
1.010000e-01	1.754555e+02
1.510000e-01	1.754262e+02
2.010000e-01	1.754490e+02
2.510000e-01	1.754432e+02
3.020000e-01	1.754467e+02
3.520000e-01	1.754460e+02
4.010000e-01	1.754279e+02
4.520000e-01	1.754618e+02
5.010000e-01	1.754430e+02
5.510000e-01	1.754401e+02
6.010000e-01	1.754435e+02
6.520000e-01	1.754337e+02
7.010000e-01	1.754445e+02
7.560000e-01	1.754272e+02
8.010000e-01	1.754278e+02
8.520000e-01	1.754507e+02
9.020000e-01	1.754287e+02
9.520000e-01	1.754382e+02
1.002000e+00	1.754256e+02
1.053000e+00	1.754500e+02
1.103000e+00	1.754458e+02
1.153000e+00	1.754251e+02
1.203000e+00	1.754283e+02
1.253000e+00	1.754319e+02
1.303000e+00	1.754159e+02
1.354000e+00	1.754450e+02
1.403000e+00	1.754333e+02
1.453000e+00	1.754313e+02
1.504000e+00	1.754237e+02
1.553000e+00	1.754300e+02
1.603000e+00	1.754252e+02
1.654000e+00	1.754142e+02
1.704000e+00	1.754353e+02
1.754000e+00	1.754123e+02
1.804000e+00	1.754239e+02
1.854000e+00	1.754393e+02
1.904000e+00	1.754199e+02
1.954000e+00	1.754354e+02
2.004000e+00	1.754298e+02
2.054000e+00	1.754179e+02
2.104000e+00	1.754461e+02
2.155000e+00	1.754275e+02
2.205000e+00	1.754194e+02
2.254000e+00	1.754304e+02
2.304000e+00	1.754115e+02
2.354000e+00	1.754235e+02
2.405000e+00	1.754071e+02
2.456000e+00	1.754202e+02
2.505000e+00	1.754277e+02
2.555000e+00	1.754207e+02
2.631000e+00	1.754304e+02
2.655000e+00	1.754310e+02
2.705000e+00	1.754306e+02
2.755000e+00	1.754104e+02
2.806000e+00	1.754141e+02
2.856000e+00	1.754308e+02
2.906000e+00	1.754103e+02
2.955000e+00	1.754088e+02
3.006000e+00	1.754182e+02
3.056000e+00	1.754393e+02
3.106000e+00	1.754181e+02
3.157000e+00	1.754027e+02
3.207000e+00	1.754277e+02
3.256000e+00	1.754320e+02
3.308000e+00	1.754246e+02
3.356000e+00	1.754087e+02
3.407000e+00	1.754205e+02
3.457000e+00	1.754138e+02
3.507000e+00	1.754106e+02
3.557000e+00	1.754077e+02
3.607000e+00	1.754202e+02
3.657000e+00	1.754353e+02
3.707000e+00	1.753916e+02
3.757000e+00	1.754079e+02
3.807000e+00	1.754067e+02
3.857000e+00	1.753991e+02
3.908000e+00	1.754249e+02
3.958000e+00	1.754109e+02
4.008000e+00	1.754012e+02
4.058000e+00	1.754172e+02
4.108000e+00	1.753870e+02
4.159000e+00	1.754005e+02
4.209000e+00	1.754121e+02
4.258000e+00	1.754306e+02
4.308000e+00	1.753953e+02
4.362000e+00	1.754100e+02
4.409000e+00	1.754049e+02
4.459000e+00	1.764667e+02
4.509000e+00	1.757199e+02
4.559000e+00	1.749045e+02
4.609000e+00	1.749337e+02
4.659000e+00	1.750062e+02
4.709000e+00	1.751387e+02
4.759000e+00	1.752954e+02
4.809000e+00	1.753421e+02
4.860000e+00	1.753900e+02
4.911000e+00	1.754072e+02
4.960000e+00	1.754030e+02
5.010000e+00	1.754400e+02
5.060000e+00	1.754429e+02
5.111000e+00	1.754480e+02
5.160000e+00	1.754347e+02
5.210000e+00	1.754476e+02
5.260000e+00	1.754453e+02
5.311000e+00	1.754298e+02
5.369000e+00	1.754248e+02
5.415000e+00	1.754571e+02
5.461000e+00	1.766024e+02
5.511000e+00	1.755617e+02
5.561000e+00	1.749082e+02
5.611000e+00	1.749521e+02
5.661000e+00	1.750026e+02
5.715000e+00	1.751791e+02
5.761000e+00	1.752791e+02
5.811000e+00	1.753533e+02
5.862000e+00	1.753916e+02
5.911000e+00	1.754122e+02
5.961000e+00	1.754066e+02
6.011000e+00	1.754077e+02
6.061000e+00	1.754310e+02
6.111000e+00	1.754236e+02
6.162000e+00	1.754349e+02
6.212000e+00	1.754396e+02
6.262000e+00	1.754483e+02
6.312000e+00	1.754388e+02
6.363000e+00	1.754471e+02
6.413000e+00	1.754450e+02
6.462000e+00	1.767013e+02
6.512000e+00	1.754405e+02
6.563000e+00	1.748842e+02
6.613000e+00	1.749257e+02
6.662000e+00	1.750011e+02
6.713000e+00	1.751459e+02
6.763000e+00	1.752621e+02
6.814000e+00	1.753448e+02
6.864000e+00	1.753726e+02
6.913000e+00	1.754004e+02
6.963000e+00	1.753856e+02
7.013000e+00	1.754267e+02
7.063000e+00	1.754301e+02
7.114000e+00	1.754367e+02
7.164000e+00	1.754234e+02
7.214000e+00	1.754498e+02
7.265000e+00	1.754335e+02
7.315000e+00	1.754522e+02
7.364000e+00	1.754330e+02
7.414000e+00	1.754480e+02
7.464000e+00	1.767446e+02
7.515000e+00	1.754096e+02
7.565000e+00	1.748895e+02
7.615000e+00	1.749110e+02
7.665000e+00	1.749732e+02
7.715000e+00	1.751102e+02
7.764000e+00	1.752602e+02
7.815000e+00	1.753099e+02
7.866000e+00	1.753709e+02
7.916000e+00	1.753661e+02
7.965000e+00	1.753893e+02
8.016000e+00	1.754007e+02
8.066000e+00	1.754078e+02
8.116000e+00	1.754212e+02
8.166000e+00	1.754159e+02
8.216000e+00	1.754059e+02
8.266000e+00	1.754305e+02
8.316000e+00	1.754166e+02
8.366000e+00	1.754209e+02
8.417000e+00	1.754319e+02
8.466000e+00	1.768176e+02
8.516000e+00	1.752704e+02
8.566000e+00	1.748551e+02
8.617000e+00	1.748998e+02
8.666000e+00	1.749298e+02
8.717000e+00	1.751090e+02
8.767000e+00	1.752373e+02
8.817000e+00	1.753119e+02
8.867000e+00	1.753223e+02
8.917000e+00	1.753541e+02
8.967000e+00	1.753645e+02
9.017000e+00	1.753832e+02
9.068000e+00	1.754040e+02
9.118000e+00	1.754006e+02
9.168000e+00	1.753918e+02
9.218000e+00	1.754036e+02
9.267000e+00	1.754137e+02
9.318000e+00	1.754239e+02
9.368000e+00	1.754122e+02
9.418000e+00	1.754181e+02
9.468000e+00	1.768735e+02
9.518000e+00	1.751775e+02
9.568000e+00	1.748601e+02
9.618000e+00	1.748864e+02
9.668000e+00	1.749215e+02
9.719000e+00	1.750431e+02
9.769000e+00	1.752029e+02
9.819000e+00	1.752755e+02
9.869000e+00	1.753214e+02
9.919000e+00	1.753385e+02
9.969000e+00	1.753401e+02
1.001900e+01	1.753668e+02
1.007000e+01	1.753680e+02
1.012000e+01	1.753796e+02
1.016900e+01	1.753863e+02
1.021900e+01	1.753994e+02
1.027000e+01	1.753902e+02
1.032000e+01	1.754017e+02
1.037000e+01	1.754005e+02
1.042000e+01	1.754248e+02
1.047000e+01	1.769211e+02
1.052000e+01	1.750655e+02
1.057000e+01	1.748133e+02
1.062300e+01	1.748518e+02
1.067000e+01	1.749066e+02
1.072100e+01	1.750871e+02
1.077100e+01	1.752029e+02
1.082100e+01	1.752625e+02
1.087100e+01	1.753180e+02
1.092100e+01	1.753347e+02
1.097100e+01	1.753484e+02
1.102200e+01	1.753552e+02
1.107100e+01	1.753503e+02
1.112200e+01	1.753705e+02
1.117100e+01	1.753881e+02
1.122200e+01	1.753787e+02
1.127100e+01	1.753911e+02
1.132200e+01	1.753731e+02
1.137200e+01	1.753868e+02
1.142100e+01	1.753762e+02
1.147100e+01	1.769611e+02
1.152200e+01	1.749525e+02
1.157200e+01	1.748101e+02
1.162200e+01	1.748213e+02
1.167200e+01	1.748953e+02
1.172300e+01	1.750674e+02
1.177200e+01	1.751995e+02
1.182200e+01	1.752601e+02
1.187800e+01	1.752814e+02
1.192300e+01	1.753222e+02
1.197600e+01	1.753281e+02
1.202200e+01	1.753483e+02
1.207300e+01	1.753340e+02
1.212500e+01	1.753471e+02
1.217300e+01	1.753574e+02
1.222300e+01	1.753411e+02
1.227300e+01	1.753627e+02
1.232300e+01	1.753512e+02
1.237400e+01	1.753547e+02
1.242400e+01	1.753826e+02
1.247500e+01	1.769572e+02
1.252400e+01	1.748663e+02
1.257400e+01	1.747611e+02
1.262400e+01	1.747839e+02
1.267400e+01	1.748757e+02
1.272400e+01	1.750430e+02
1.277500e+01	1.751816e+02
1.282500e+01	1.752360e+02
1.287500e+01	1.752640e+02
1.292500e+01	1.752991e+02
1.297500e+01	1.752901e+02
1.302500e+01	1.753088e+02
1.307500e+01	1.753153e+02
1.312500e+01	1.753233e+02
1.317500e+01	1.753484e+02
1.322600e+01	1.753424e+02
1.327500e+01	1.753495e+02
1.332500e+01	1.753434e+02
1.337600e+01	1.753263e+02
1.342600e+01	1.753560e+02
1.347600e+01	1.769523e+02
1.352600e+01	1.747893e+02
1.357800e+01	1.747403e+02
1.362600e+01	1.747626e+02
1.367700e+01	1.748589e+02
1.372600e+01	1.750403e+02
1.377700e+01	1.751360e+02
