Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	2.960756e+06
5.100000e-02	2.923351e+06
1.000000e-01	2.953097e+06
1.510000e-01	2.935340e+06
2.010000e-01	2.980496e+06
2.510000e-01	2.928863e+06
3.020000e-01	2.969629e+06
3.510000e-01	2.928547e+06
4.010000e-01	2.961340e+06
4.510000e-01	2.964463e+06
5.010000e-01	2.952249e+06
5.510000e-01	2.963189e+06
6.010000e-01	2.922409e+06
6.520000e-01	2.960139e+06
7.020000e-01	2.929012e+06
7.520000e-01	2.960419e+06
8.020000e-01	2.934072e+06
8.520000e-01	2.957331e+06
9.020000e-01	2.930387e+06
9.530000e-01	2.973833e+06
1.004000e+00	2.930869e+06
1.053000e+00	2.977246e+06
1.103000e+00	2.932418e+06
1.153000e+00	2.975759e+06
1.202000e+00	2.923702e+06
1.253000e+00	2.950209e+06
1.306000e+00	2.934173e+06
1.353000e+00	2.964107e+06
1.403000e+00	2.944420e+06
1.454000e+00	2.927651e+06
1.503000e+00	2.952445e+06
1.554000e+00	2.957181e+06
1.604000e+00	2.968418e+06
1.654000e+00	2.950992e+06
1.703000e+00	2.956538e+06
1.754000e+00	2.950656e+06
1.804000e+00	2.956129e+06
1.854000e+00	2.934372e+06
1.904000e+00	2.956397e+06
1.955000e+00	2.952820e+06
2.006000e+00	2.960873e+06
2.054000e+00	2.930076e+06
2.105000e+00	2.950046e+06
2.200000e+00	2.962707e+06
2.207000e+00	2.965662e+06
2.255000e+00	2.955431e+06
2.305000e+00	2.949837e+06
2.355000e+00	2.955603e+06
2.406000e+00	2.938514e+06
2.455000e+00	2.966792e+06
2.506000e+00	2.836509e+06
2.556000e+00	2.862379e+06
2.605000e+00	2.869988e+06
2.656000e+00	2.879426e+06
2.706000e+00	2.878679e+06
2.756000e+00	2.917304e+06
2.806000e+00	2.917241e+06
2.856000e+00	2.932505e+06
2.906000e+00	2.899417e+06
2.956000e+00	2.926563e+06
3.007000e+00	2.944048e+06
3.056000e+00	2.934412e+06
3.107000e+00	2.937454e+06
3.156000e+00	2.930659e+06
3.207000e+00	2.935153e+06
3.259000e+00	2.934942e+06
3.308000e+00	2.938410e+06
3.357000e+00	2.945930e+06
3.407000e+00	2.957212e+06
3.457000e+00	2.946482e+06
3.507000e+00	2.843886e+06
3.557000e+00	2.832990e+06
3.608000e+00	2.882641e+06
3.658000e+00	2.860807e+06
3.708000e+00	2.874463e+06
3.758000e+00	2.878398e+06
3.808000e+00	2.898818e+06
