Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	1.969970e+06
4.900000e-02	1.962037e+06
9.900000e-02	1.971812e+06
1.500000e-01	1.967927e+06
2.000000e-01	1.966539e+06
2.500000e-01	1.949395e+06
3.000000e-01	1.929522e+06
3.520000e-01	1.934472e+06
4.000000e-01	1.942820e+06
4.500000e-01	1.941385e+06
5.010000e-01	1.947358e+06
5.500000e-01	1.961422e+06
6.010000e-01	1.954969e+06
6.510000e-01	1.954679e+06
7.010000e-01	1.956508e+06
7.510000e-01	1.966358e+06
8.010000e-01	1.962320e+06
8.520000e-01	1.961145e+06
9.030000e-01	1.957867e+06
9.510000e-01	1.965303e+06
1.001000e+00	1.965519e+06
1.051000e+00	1.968707e+06
1.102000e+00	1.970103e+06
1.152000e+00	1.965942e+06
1.202000e+00	1.967632e+06
1.253000e+00	1.945121e+06
1.302000e+00	1.932920e+06
1.352000e+00	1.941950e+06
1.402000e+00	1.946638e+06
1.452000e+00	1.943776e+06
1.502000e+00	1.950091e+06
1.553000e+00	1.952962e+06
1.602000e+00	1.958755e+06
1.652000e+00	1.959878e+06
1.703000e+00	1.960248e+06
1.753000e+00	1.963734e+06
1.803000e+00	1.963050e+06
1.854000e+00	1.963796e+06
1.903000e+00	1.967822e+06
1.954000e+00	1.965916e+06
2.004000e+00	1.965490e+06
2.054000e+00	1.956415e+06
2.103000e+00	1.963740e+06
2.153000e+00	1.974172e+06
2.203000e+00	1.971082e+06
2.254000e+00	1.956184e+06
2.304000e+00	1.919737e+06
2.356000e+00	1.938341e+06
2.404000e+00	1.945985e+06
2.455000e+00	1.950228e+06
2.504000e+00	1.952118e+06
2.554000e+00	1.956853e+06
2.632000e+00	1.951270e+06
2.789000e+00	1.962444e+06
2.842000e+00	1.956315e+06
2.851000e+00	1.967823e+06
2.862000e+00	1.970407e+06
2.907000e+00	1.964157e+06
2.959000e+00	1.965101e+06
3.005000e+00	1.972377e+06
3.055000e+00	1.968701e+06
3.107000e+00	1.977868e+06
3.156000e+00	1.961852e+06
3.206000e+00	1.964399e+06
3.256000e+00	1.938209e+06
3.306000e+00	1.935396e+06
3.355000e+00	1.941448e+06
3.406000e+00	1.952006e+06
3.456000e+00	1.946812e+06
3.506000e+00	1.954912e+06
3.556000e+00	1.949787e+06
3.606000e+00	1.964278e+06
3.656000e+00	1.960927e+06
3.706000e+00	1.967969e+06
3.756000e+00	1.959456e+06
3.807000e+00	1.960169e+06
3.856000e+00	1.966492e+06
3.907000e+00	1.967573e+06
3.957000e+00	1.974857e+06
4.009000e+00	1.971021e+06
4.058000e+00	1.974337e+06
4.107000e+00	1.965795e+06
4.157000e+00	1.973914e+06
4.208000e+00	1.975042e+06
4.257000e+00	1.950562e+06
4.307000e+00	1.935336e+06
4.357000e+00	1.937296e+06
4.407000e+00	1.939252e+06
4.458000e+00	1.952794e+06
4.508000e+00	1.963485e+06
4.558000e+00	1.957114e+06
4.608000e+00	1.961879e+06
4.658000e+00	1.963481e+06
4.708000e+00	1.971196e+06
4.759000e+00	1.967741e+06
4.808000e+00	1.975572e+06
4.859000e+00	1.970770e+06
4.908000e+00	1.974540e+06
4.959000e+00	1.969904e+06
5.009000e+00	1.964329e+06
5.059000e+00	1.966979e+06
5.110000e+00	1.977001e+06
5.163000e+00	1.972760e+06
5.209000e+00	1.978134e+06
5.260000e+00	1.942768e+06
5.310000e+00	1.940290e+06
5.360000e+00	1.951652e+06
5.409000e+00	1.956439e+06
5.460000e+00	1.959803e+06
5.510000e+00	1.958333e+06
5.559000e+00	1.959532e+06
5.610000e+00	1.962565e+06
5.660000e+00	1.968982e+06
5.711000e+00	1.970555e+06
5.760000e+00	1.975275e+06
5.810000e+00	1.966515e+06
5.861000e+00	1.979036e+06
5.910000e+00	1.975337e+06
5.961000e+00	1.982626e+06
6.011000e+00	1.975795e+06
6.061000e+00	1.977916e+06
6.111000e+00	1.976358e+06
6.161000e+00	1.983767e+06
6.212000e+00	1.977559e+06
6.261000e+00	1.952273e+06
6.312000e+00	1.948974e+06
6.361000e+00	1.949650e+06
6.411000e+00	1.959934e+06
6.461000e+00	1.956591e+06
6.512000e+00	1.967423e+06
6.563000e+00	1.973024e+06
6.612000e+00	1.975791e+06
6.662000e+00	1.967169e+06
6.712000e+00	1.978875e+06
6.762000e+00	1.974105e+06
6.812000e+00	1.981215e+06
6.862000e+00	1.975932e+06
6.915000e+00	1.981535e+06
6.962000e+00	1.978354e+06
7.013000e+00	1.986713e+06
7.063000e+00	1.982204e+06
7.113000e+00	1.984261e+06
7.163000e+00	1.987727e+06
7.214000e+00	1.984201e+06
7.263000e+00	1.955548e+06
7.313000e+00	1.939801e+06
7.363000e+00	1.961507e+06
7.413000e+00	1.961411e+06
7.463000e+00	1.966388e+06
7.514000e+00	1.962177e+06
7.564000e+00	1.975460e+06
7.614000e+00	1.971711e+06
7.664000e+00	1.982548e+06
7.714000e+00	1.974243e+06
7.764000e+00	1.983199e+06
7.814000e+00	1.977775e+06
7.865000e+00	1.981547e+06
7.914000e+00	1.981354e+06
7.964000e+00	1.981580e+06
8.015000e+00	1.984979e+06
8.065000e+00	1.982779e+06
8.115000e+00	1.985505e+06
8.165000e+00	1.982920e+06
8.215000e+00	1.992388e+06
8.265000e+00	1.944440e+06
8.315000e+00	1.956016e+06
8.365000e+00	1.954016e+06
8.415000e+00	1.968881e+06
8.466000e+00	1.961430e+06
8.515000e+00	1.976095e+06
8.565000e+00	1.969532e+06
8.616000e+00	1.976053e+06
8.665000e+00	1.976092e+06
8.716000e+00	1.980566e+06
8.766000e+00	1.980235e+06
8.816000e+00	1.992878e+06
8.866000e+00	1.984960e+06
8.916000e+00	1.980759e+06
8.967000e+00	1.984125e+06
9.072000e+00	1.986000e+06
9.083000e+00	1.990571e+06
9.116000e+00	1.986215e+06
9.167000e+00	1.985671e+06
9.218000e+00	1.989811e+06
9.267000e+00	1.948558e+06
9.317000e+00	1.947287e+06
9.367000e+00	1.967499e+06
9.417000e+00	1.964733e+06
9.467000e+00	1.979376e+06
9.518000e+00	1.969945e+06
9.568000e+00	1.979446e+06
9.618000e+00	1.974214e+06
9.668000e+00	1.981474e+06
9.717000e+00	1.990024e+06
9.768000e+00	1.980097e+06
9.818000e+00	1.984454e+06
9.868000e+00	1.986401e+06
9.920000e+00	1.988424e+06
9.968000e+00	1.991848e+06
1.001800e+01	1.991014e+06
1.006900e+01	1.987616e+06
1.011900e+01	1.996517e+06
1.016900e+01	1.985937e+06
1.022000e+01	2.009440e+06
1.026900e+01	1.945708e+06
1.031900e+01	1.963343e+06
1.036900e+01	1.952956e+06
1.041900e+01	1.962560e+06
1.046900e+01	1.969283e+06
1.053700e+01	1.974944e+06
1.056900e+01	1.983364e+06
1.061900e+01	1.981538e+06
1.066900e+01	1.986887e+06
1.072000e+01	1.984855e+06
1.077000e+01	1.986048e+06
1.082000e+01	1.990050e+06
1.087000e+01	1.994398e+06
1.092000e+01	1.989740e+06
1.097000e+01	1.991027e+06
1.102000e+01	1.981683e+06
1.107000e+01	2.001738e+06
1.112000e+01	1.990590e+06
1.117000e+01	1.996892e+06
1.122000e+01	1.995766e+06
1.127100e+01	1.948208e+06
1.132000e+01	1.960992e+06
1.137100e+01	1.971667e+06
1.142100e+01	1.973479e+06
1.147100e+01	1.975772e+06
1.152100e+01	1.979986e+06
1.157100e+01	1.977620e+06
1.162100e+01	1.981819e+06
1.167100e+01	1.988565e+06
1.172200e+01	1.989496e+06
1.177200e+01	1.989120e+06
1.182200e+01	1.998998e+06
1.187100e+01	1.983594e+06
1.192200e+01	1.997621e+06
1.197200e+01	1.992695e+06
1.202200e+01	2.000358e+06
1.207200e+01	1.991736e+06
1.212300e+01	1.992687e+06
1.217200e+01	1.996463e+06
1.222300e+01	1.996184e+06
1.227300e+01	1.955645e+06
1.232300e+01	1.958723e+06
1.237300e+01	1.965537e+06
1.242300e+01	1.971581e+06
1.247300e+01	1.977544e+06
1.252300e+01	1.976844e+06
1.257300e+01	1.992130e+06
1.262300e+01	1.979658e+06
1.267300e+01	1.994153e+06
1.272300e+01	1.979841e+06
1.277300e+01	1.993551e+06
1.282400e+01	1.988115e+06
1.287400e+01	1.998806e+06
1.292400e+01	2.000105e+06
1.297400e+01	1.994859e+06
1.302400e+01	1.995193e+06
1.307500e+01	1.992281e+06
1.312500e+01	2.002840e+06
1.317500e+01	2.002572e+06
1.322400e+01	2.006556e+06
1.327400e+01	1.951311e+06
1.332500e+01	1.963712e+06
1.337500e+01	1.966725e+06
1.342400e+01	1.985822e+06
1.347500e+01	1.974084e+06
1.352500e+01	1.986187e+06
1.357500e+01	1.978569e+06
1.362500e+01	1.995573e+06
1.367500e+01	1.988228e+06
1.372500e+01	1.993485e+06
1.377500e+01	1.994115e+06
1.382500e+01	1.997374e+06
1.387600e+01	2.000623e+06
1.392600e+01	1.991586e+06
1.397600e+01	1.998227e+06
1.402700e+01	1.991311e+06
1.407800e+01	2.008250e+06
1.412800e+01	1.997655e+06
1.417600e+01	2.000419e+06
1.422600e+01	1.998206e+06
1.427600e+01	1.965789e+06
1.432600e+01	1.963277e+06
1.437600e+01	1.979947e+06
1.442700e+01	1.972118e+06
1.447600e+01	1.987027e+06
1.452700e+01	1.982632e+06
1.457700e+01	1.987539e+06
1.462800e+01	1.990375e+06
1.467700e+01	1.993541e+06
1.472700e+01	1.994672e+06
1.477800e+01	1.990926e+06
1.482800e+01	2.008354e+06
1.487800e+01	1.997000e+06
1.492800e+01	2.002049e+06
1.497800e+01	1.997060e+06
1.502800e+01	2.002512e+06
1.508500e+01	2.001468e+06
1.512800e+01	1.995833e+06
1.518100e+01	1.989773e+06
1.522800e+01	2.012021e+06
1.527800e+01	1.948454e+06
1.532800e+01	1.970220e+06
1.537900e+01	1.965696e+06
1.542900e+01	1.982264e+06
1.547900e+01	1.985914e+06
1.552900e+01	1.985665e+06
1.557900e+01	1.985596e+06
1.562900e+01	1.986521e+06
1.567900e+01	2.001581e+06
1.572900e+01	1.993005e+06
1.578000e+01	1.995098e+06
1.582900e+01	1.990678e+06
1.587900e+01	2.002563e+06
1.592900e+01	1.995524e+06
1.598000e+01	2.003899e+06
1.603000e+01	1.995110e+06
1.608000e+01	2.010345e+06
1.613000e+01	1.996440e+06
1.618000e+01	2.010988e+06
1.623000e+01	2.003300e+06
1.628000e+01	1.954884e+06
1.633000e+01	1.966746e+06
1.638000e+01	1.969251e+06
1.643000e+01	1.978224e+06
1.648100e+01	1.975083e+06
1.653000e+01	1.986542e+06
1.658100e+01	1.987573e+06
1.663000e+01	1.995317e+06
1.668100e+01	1.991060e+06
1.673100e+01	1.996709e+06
1.678100e+01	1.992187e+06
1.683100e+01	2.008840e+06
1.688100e+01	1.996153e+06
1.693200e+01	2.005181e+06
1.698100e+01	1.985598e+06
1.703200e+01	2.000126e+06
1.708100e+01	1.995641e+06
1.713200e+01	2.010360e+06
1.718200e+01	2.001353e+06
1.723200e+01	2.009024e+06
1.728300e+01	1.947476e+06
1.733200e+01	1.968398e+06
1.738300e+01	1.975877e+06
1.743200e+01	1.978714e+06
1.748200e+01	1.989470e+06
1.753400e+01	1.985827e+06
1.758300e+01	1.980734e+06
1.763300e+01	1.979847e+06
1.768200e+01	2.006253e+06
1.773300e+01	1.997425e+06
1.778300e+01	2.007736e+06
1.783300e+01	1.991866e+06
1.788300e+01	2.000840e+06
1.793300e+01	1.986167e+06
1.798300e+01	2.010219e+06
1.803800e+01	1.997777e+06
1.808400e+01	2.004949e+06
1.813300e+01	1.999996e+06
1.818400e+01	1.992877e+06
1.823400e+01	2.008127e+06
1.828400e+01	1.947863e+06
1.833400e+01	1.966451e+06
1.838500e+01	1.974075e+06
1.843500e+01	1.976201e+06
1.848400e+01	1.979558e+06
1.853400e+01	1.982372e+06
1.858400e+01	1.981265e+06
1.863400e+01	1.997399e+06
1.868400e+01	1.988846e+06
1.873500e+01	1.994884e+06
1.878500e+01	1.976202e+06
1.883500e+01	1.997964e+06
1.888600e+01	1.994068e+06
1.893500e+01	1.999718e+06
1.898500e+01	1.999328e+06
1.903500e+01	1.992743e+06
1.908600e+01	1.994996e+06
1.913700e+01	1.995963e+06
1.918600e+01	2.002322e+06
1.923600e+01	2.001690e+06
1.928600e+01	1.944736e+06
1.933600e+01	1.959230e+06
1.938600e+01	1.964882e+06
1.943600e+01	1.973631e+06
1.948600e+01	1.982933e+06
1.953600e+01	1.972271e+06
1.958600e+01	1.988769e+06
1.963700e+01	1.983039e+06
1.968800e+01	1.988691e+06
1.973600e+01	1.982784e+06
1.978600e+01	1.996941e+06
1.983700e+01	2.000750e+06
1.988700e+01	1.991271e+06
1.993700e+01	1.983300e+06
1.998700e+01	1.981905e+06
2.003700e+01	1.997904e+06
2.008700e+01	2.004976e+06
2.013700e+01	1.998478e+06
2.018700e+01	1.993444e+06
2.023700e+01	1.990281e+06
2.028800e+01	1.946830e+06
2.034100e+01	1.963668e+06
2.038800e+01	1.964165e+06
2.043800e+01	1.978539e+06
2.048800e+01	1.971803e+06
2.053800e+01	1.979685e+06
2.058800e+01	1.976023e+06
2.063800e+01	1.987148e+06
2.068900e+01	1.989319e+06
2.073800e+01	1.988219e+06
2.078800e+01	1.988625e+06
2.083800e+01	1.991341e+06
2.088900e+01	1.993700e+06
2.093900e+01	1.997377e+06
2.098900e+01	1.999524e+06
2.103800e+01	1.988940e+06
2.108900e+01	1.994350e+06
2.113900e+01	1.987609e+06
2.118900e+01	1.988862e+06
2.124000e+01	1.985504e+06
2.129000e+01	1.953846e+06
2.134000e+01	1.951291e+06
2.139000e+01	1.964335e+06
2.144900e+01	1.969801e+06
2.148900e+01	1.979436e+06
2.153900e+01	1.977512e+06
2.159000e+01	1.974673e+06
2.164000e+01	1.983551e+06
2.169000e+01	1.984390e+06
2.174000e+01	1.987622e+06
2.179100e+01	1.981153e+06
2.184100e+01	1.990723e+06
2.189200e+01	1.988796e+06
2.194100e+01	1.991902e+06
2.199100e+01	1.987843e+06
2.204100e+01	1.993968e+06
2.209300e+01	1.993992e+06
2.214100e+01	2.001073e+06
2.219100e+01	1.989464e+06
2.224100e+01	1.975277e+06
2.229100e+01	1.946149e+06
2.234100e+01	1.955810e+06
2.239100e+01	1.959785e+06
2.244200e+01	1.964515e+06
2.249100e+01	1.970129e+06
2.254200e+01	1.973966e+06
2.259100e+01	1.981211e+06
2.264200e+01	1.977509e+06
2.269200e+01	1.987816e+06
2.274200e+01	1.982206e+06
2.279200e+01	1.989831e+06
2.284300e+01	1.978373e+06
2.289200e+01	1.991974e+06
2.294200e+01	1.983945e+06
2.299300e+01	1.991961e+06
2.304300e+01	1.986415e+06
2.309300e+01	1.990385e+06
2.314300e+01	1.984156e+06
2.319200e+01	1.994855e+06
2.324300e+01	1.976667e+06
2.329300e+01	1.950753e+06
2.334300e+01	1.952718e+06
2.339300e+01	1.959758e+06
2.344300e+01	1.971071e+06
2.349400e+01	1.970679e+06
2.354400e+01	1.973597e+06
2.359400e+01	1.964659e+06
2.364300e+01	1.978085e+06
2.369400e+01	1.977030e+06
2.374400e+01	1.982834e+06
2.379400e+01	1.979195e+06
2.384400e+01	1.985536e+06
2.389400e+01	1.983775e+06
2.394400e+01	1.986929e+06
2.399500e+01	1.986234e+06
2.404400e+01	1.985886e+06
2.409500e+01	1.986010e+06
2.414500e+01	1.989146e+06
2.419500e+01	1.984728e+06
2.424500e+01	1.964772e+06
2.429500e+01	1.936459e+06
2.434500e+01	1.948634e+06
2.439500e+01	1.959028e+06
2.444500e+01	1.961837e+06
2.449500e+01	1.964413e+06
2.454500e+01	1.957470e+06
2.459500e+01	1.971420e+06
2.464600e+01	1.974276e+06
2.469600e+01	1.982562e+06
2.474600e+01	1.968669e+06
2.479600e+01	1.972670e+06
2.484600e+01	1.976493e+06
2.489600e+01	1.981185e+06
2.494600e+01	1.984357e+06
2.499700e+01	1.990152e+06
2.504700e+01	1.990270e+06
2.509700e+01	1.980296e+06
2.514600e+01	1.979555e+06
2.519600e+01	1.985203e+06
2.524600e+01	1.966542e+06
2.529700e+01	1.940121e+06
2.534700e+01	1.942377e+06
2.539700e+01	1.945232e+06
2.544700e+01	1.967702e+06
2.549800e+01	1.956333e+06
2.554700e+01	1.968532e+06
2.559700e+01	1.966550e+06
2.564700e+01	1.964856e+06
2.569800e+01	1.972216e+06
2.574800e+01	1.968980e+06
2.579800e+01	1.979156e+06
2.584800e+01	1.976762e+06
2.589800e+01	1.978096e+06
2.594800e+01	1.966323e+06
2.599800e+01	1.968201e+06
2.604900e+01	1.973916e+06
2.609900e+01	1.985329e+06
2.614800e+01	1.974632e+06
2.619800e+01	1.985399e+06
2.624900e+01	1.953329e+06
2.629900e+01	1.936953e+06
2.634900e+01	1.939254e+06
2.639800e+01	1.951911e+06
2.644900e+01	1.957077e+06
2.649900e+01	1.960522e+06
2.654900e+01	1.953505e+06
2.659900e+01	1.954726e+06
2.665000e+01	1.968358e+06
2.669900e+01	1.968197e+06
2.675000e+01	1.974426e+06
2.680000e+01	1.965752e+06
2.685000e+01	1.970817e+06
2.689900e+01	1.971275e+06
2.695000e+01	1.977615e+06
2.700000e+01	1.975924e+06
2.705000e+01	1.974221e+06
2.714500e+01	1.970149e+06
2.715200e+01	1.974258e+06
2.720200e+01	1.967785e+06
2.725100e+01	1.952767e+06
2.730100e+01	1.931077e+06
2.735100e+01	1.936096e+06
2.740100e+01	1.943609e+06
2.745100e+01	1.949307e+06
2.750100e+01	1.957913e+06
2.755200e+01	1.957847e+06
2.760100e+01	1.961544e+06
2.765100e+01	1.957069e+06
2.770100e+01	1.973770e+06
