Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	3.237275e+06
5.000000e-02	3.254771e+06
1.010000e-01	3.245527e+06
1.510000e-01	3.260105e+06
2.010000e-01	3.242062e+06
2.510000e-01	3.249214e+06
3.020000e-01	3.246641e+06
3.520000e-01	3.246695e+06
4.010000e-01	3.253018e+06
4.520000e-01	3.245449e+06
5.010000e-01	3.240641e+06
5.510000e-01	3.237477e+06
6.010000e-01	3.241481e+06
6.520000e-01	3.249593e+06
7.010000e-01	3.259646e+06
7.560000e-01	3.256413e+06
8.010000e-01	3.258108e+06
8.520000e-01	3.242917e+06
9.020000e-01	3.248857e+06
9.520000e-01	3.248498e+06
1.002000e+00	3.268500e+06
1.053000e+00	3.256621e+06
1.103000e+00	3.258891e+06
1.153000e+00	3.243880e+06
1.203000e+00	3.253456e+06
1.253000e+00	3.256866e+06
1.303000e+00	3.261980e+06
1.354000e+00	3.261529e+06
1.403000e+00	3.262156e+06
1.453000e+00	3.253299e+06
1.504000e+00	3.261663e+06
1.553000e+00	3.258832e+06
1.603000e+00	3.253945e+06
1.654000e+00	3.260110e+06
1.704000e+00	3.237514e+06
1.754000e+00	3.243761e+06
1.804000e+00	3.249003e+06
1.854000e+00	3.259108e+06
1.904000e+00	3.254602e+06
1.954000e+00	3.256613e+06
2.004000e+00	3.245086e+06
2.054000e+00	3.258055e+06
2.104000e+00	3.254088e+06
2.155000e+00	3.255617e+06
2.205000e+00	3.252277e+06
2.254000e+00	3.255105e+06
2.304000e+00	3.247984e+06
2.354000e+00	3.247692e+06
2.405000e+00	3.254443e+06
2.456000e+00	3.244127e+06
2.505000e+00	3.255037e+06
2.555000e+00	3.249377e+06
2.631000e+00	3.256721e+06
2.655000e+00	3.234932e+06
2.705000e+00	3.261256e+06
2.755000e+00	3.245801e+06
2.806000e+00	3.257147e+06
2.856000e+00	3.242030e+06
2.906000e+00	3.233253e+06
2.955000e+00	3.236905e+06
3.006000e+00	3.253383e+06
3.056000e+00	3.256899e+06
3.106000e+00	3.262237e+06
3.157000e+00	3.241533e+06
3.207000e+00	3.242979e+06
3.256000e+00	3.246311e+06
3.308000e+00	3.251167e+06
3.356000e+00	3.249502e+06
3.407000e+00	3.248510e+06
3.457000e+00	3.247864e+06
3.507000e+00	3.233489e+06
3.557000e+00	3.243235e+06
3.607000e+00	3.236672e+06
3.657000e+00	3.277258e+06
3.707000e+00	3.253134e+06
3.757000e+00	3.248781e+06
3.807000e+00	3.246189e+06
3.857000e+00	3.242681e+06
3.908000e+00	3.246518e+06
3.958000e+00	3.255759e+06
4.008000e+00	3.248110e+06
4.058000e+00	3.232660e+06
4.108000e+00	3.231626e+06
4.159000e+00	3.233246e+06
4.209000e+00	3.245047e+06
4.258000e+00	3.249851e+06
4.308000e+00	3.244563e+06
4.362000e+00	3.240152e+06
4.409000e+00	3.251770e+06
4.459000e+00	3.200184e+06
4.509000e+00	3.181551e+06
4.559000e+00	3.188152e+06
4.609000e+00	3.211449e+06
4.659000e+00	3.205390e+06
4.709000e+00	3.196350e+06
4.759000e+00	3.215759e+06
4.809000e+00	3.218226e+06
4.860000e+00	3.220576e+06
4.911000e+00	3.223002e+06
4.960000e+00	3.220936e+06
5.010000e+00	3.222224e+06
5.060000e+00	3.213798e+06
5.111000e+00	3.229419e+06
5.160000e+00	3.239005e+06
5.210000e+00	3.219342e+06
5.260000e+00	3.224741e+06
5.311000e+00	3.201897e+06
5.369000e+00	3.222885e+06
5.415000e+00	3.229495e+06
5.461000e+00	3.213575e+06
5.511000e+00	3.163847e+06
5.561000e+00	3.185297e+06
5.611000e+00	3.187966e+06
5.661000e+00	3.203331e+06
5.715000e+00	3.219470e+06
5.761000e+00	3.221327e+06
5.811000e+00	3.216904e+06
5.862000e+00	3.209259e+06
5.911000e+00	3.208618e+06
5.961000e+00	3.223988e+06
6.011000e+00	3.230339e+06
6.061000e+00	3.219405e+06
6.111000e+00	3.218955e+06
6.162000e+00	3.214334e+06
6.212000e+00	3.225570e+06
6.262000e+00	3.219072e+06
6.312000e+00	3.231538e+06
6.363000e+00	3.224351e+06
6.413000e+00	3.219074e+06
6.462000e+00	3.181448e+06
6.512000e+00	3.143698e+06
6.563000e+00	3.180062e+06
6.613000e+00	3.200489e+06
6.662000e+00	3.204619e+06
6.713000e+00	3.205399e+06
6.763000e+00	3.203951e+06
6.814000e+00	3.209864e+06
6.864000e+00	3.224148e+06
6.913000e+00	3.217192e+06
6.963000e+00	3.225960e+06
7.013000e+00	3.205843e+06
7.063000e+00	3.215720e+06
7.114000e+00	3.200822e+06
7.164000e+00	3.227555e+06
7.214000e+00	3.217312e+06
7.265000e+00	3.218085e+06
7.315000e+00	3.224399e+06
7.364000e+00	3.219688e+06
7.414000e+00	3.225942e+06
7.464000e+00	3.179520e+06
7.515000e+00	3.152774e+06
7.565000e+00	3.201272e+06
7.615000e+00	3.192161e+06
7.665000e+00	3.195638e+06
7.715000e+00	3.188676e+06
7.764000e+00	3.197525e+06
7.815000e+00	3.215723e+06
7.866000e+00	3.198918e+06
7.916000e+00	3.211575e+06
7.965000e+00	3.198310e+06
8.016000e+00	3.215308e+06
8.066000e+00	3.210497e+06
8.116000e+00	3.211367e+06
8.166000e+00	3.214652e+06
8.216000e+00	3.213226e+06
8.266000e+00	3.206155e+06
8.316000e+00	3.203387e+06
8.366000e+00	3.211874e+06
8.417000e+00	3.218187e+06
8.466000e+00	3.177459e+06
8.516000e+00	3.146315e+06
8.566000e+00	3.172888e+06
8.617000e+00	3.180720e+06
8.666000e+00	3.201923e+06
8.717000e+00	3.202086e+06
8.767000e+00	3.209121e+06
8.817000e+00	3.192585e+06
8.867000e+00	3.189683e+06
8.917000e+00	3.200058e+06
8.967000e+00	3.210080e+06
9.017000e+00	3.216490e+06
9.068000e+00	3.204426e+06
9.118000e+00	3.204187e+06
9.168000e+00	3.206786e+06
9.218000e+00	3.214700e+06
9.267000e+00	3.209958e+06
9.318000e+00	3.213032e+06
9.368000e+00	3.209007e+06
9.418000e+00	3.212034e+06
9.468000e+00	3.153931e+06
9.518000e+00	3.141011e+06
9.568000e+00	3.168542e+06
9.618000e+00	3.192135e+06
9.668000e+00	3.181438e+06
9.719000e+00	3.193930e+06
9.769000e+00	3.192006e+06
9.819000e+00	3.207366e+06
9.869000e+00	3.211570e+06
9.919000e+00	3.206904e+06
9.969000e+00	3.193011e+06
1.001900e+01	3.201623e+06
1.007000e+01	3.192832e+06
1.012000e+01	3.195856e+06
1.016900e+01	3.206081e+06
1.021900e+01	3.206825e+06
1.027000e+01	3.205547e+06
1.032000e+01	3.201347e+06
1.037000e+01	3.212102e+06
1.042000e+01	3.198103e+06
1.047000e+01	3.167232e+06
1.052000e+01	3.148049e+06
1.057000e+01	3.177972e+06
1.062300e+01	3.179808e+06
1.067000e+01	3.174458e+06
1.072100e+01	3.189605e+06
1.077100e+01	3.200286e+06
1.082100e+01	3.193196e+06
1.087100e+01	3.192898e+06
1.092100e+01	3.185688e+06
1.097100e+01	3.196613e+06
1.102200e+01	3.207197e+06
1.107100e+01	3.207168e+06
1.112200e+01	3.200983e+06
1.117100e+01	3.191696e+06
1.122200e+01	3.207100e+06
1.127100e+01	3.184298e+06
1.132200e+01	3.203648e+06
1.137200e+01	3.199656e+06
1.142100e+01	3.202783e+06
1.147100e+01	3.143775e+06
1.152200e+01	3.135034e+06
1.157200e+01	3.160847e+06
1.162200e+01	3.185922e+06
1.167200e+01	3.187229e+06
1.172300e+01	3.187050e+06
1.177200e+01	3.186002e+06
1.182200e+01	3.187570e+06
1.187800e+01	3.193653e+06
1.192300e+01	3.188920e+06
1.197600e+01	3.204355e+06
1.202200e+01	3.186994e+06
1.207300e+01	3.198574e+06
1.212500e+01	3.187628e+06
1.217300e+01	3.206836e+06
1.222300e+01	3.192003e+06
1.227300e+01	3.208537e+06
1.232300e+01	3.188388e+06
1.237400e+01	3.201413e+06
1.242400e+01	3.191246e+06
1.247500e+01	3.128509e+06
1.252400e+01	3.126914e+06
1.257400e+01	3.166035e+06
1.262400e+01	3.171319e+06
1.267400e+01	3.176557e+06
1.272400e+01	3.170568e+06
1.277500e+01	3.194294e+06
1.282500e+01	3.201508e+06
1.287500e+01	3.188461e+06
1.292500e+01	3.189149e+06
1.297500e+01	3.177350e+06
1.302500e+01	3.193662e+06
1.307500e+01	3.173399e+06
1.312500e+01	3.194294e+06
1.317500e+01	3.191182e+06
1.322600e+01	3.197778e+06
1.327500e+01	3.187422e+06
1.332500e+01	3.192042e+06
1.337600e+01	3.196676e+06
1.342600e+01	3.211334e+06
1.347600e+01	3.140190e+06
1.352600e+01	3.144061e+06
1.357800e+01	3.154548e+06
1.362600e+01	3.172658e+06
1.367700e+01	3.173149e+06
1.372600e+01	3.175343e+06
1.377700e+01	3.194056e+06
1.382700e+01	3.178624e+06
1.387600e+01	3.176634e+06
1.392600e+01	3.183197e+06
1.397700e+01	3.195659e+06
1.407000e+01	3.191337e+06
1.407900e+01	3.188439e+06
1.412700e+01	3.174622e+06
1.417600e+01	3.176646e+06
1.422700e+01	3.183612e+06
1.427700e+01	3.171812e+06
1.432700e+01	3.161800e+06
1.437700e+01	3.167422e+06
1.442700e+01	3.159744e+06
1.447800e+01	3.101488e+06
1.452800e+01	3.106366e+06
1.457700e+01	3.124656e+06
1.462800e+01	3.146870e+06
1.467800e+01	3.130575e+06
1.472900e+01	3.140576e+06
1.477800e+01	3.129216e+06
1.482800e+01	3.149402e+06
1.487800e+01	3.121970e+06
1.492900e+01	3.124952e+06
1.497800e+01	3.130953e+06
1.502800e+01	3.133341e+06
1.507900e+01	3.132129e+06
1.512900e+01	3.147413e+06
1.517900e+01	3.140346e+06
1.522800e+01	3.157579e+06
1.527900e+01	3.141915e+06
1.532900e+01	3.140419e+06
1.542400e+01	3.143352e+06
1.543200e+01	3.158354e+06
1.547900e+01	3.101645e+06
1.552900e+01	3.094521e+06
1.557900e+01	3.133535e+06
1.562900e+01	3.122508e+06
1.567900e+01	3.153071e+06
1.573100e+01	3.154879e+06
1.577900e+01	3.167798e+06
1.583000e+01	3.160542e+06
1.588000e+01	3.150134e+06
1.593000e+01	3.143857e+06
1.598100e+01	3.164178e+06
1.603100e+01	3.157727e+06
1.608100e+01	3.156392e+06
1.613000e+01	3.140498e+06
1.618100e+01	3.158680e+06
1.623100e+01	3.161275e+06
1.628100e+01	3.155669e+06
1.633100e+01	3.164846e+06
1.638800e+01	3.167935e+06
1.643100e+01	3.181757e+06
1.648700e+01	3.096881e+06
1.653100e+01	3.114877e+06
1.658200e+01	3.130167e+06
1.663100e+01	3.159977e+06
1.668100e+01	3.157572e+06
1.673200e+01	3.163778e+06
1.678200e+01	3.159508e+06
1.683200e+01	3.164718e+06
1.688500e+01	3.164079e+06
1.693200e+01	3.181869e+06
1.698200e+01	3.181734e+06
1.703200e+01	3.184813e+06
1.708300e+01	3.170418e+06
1.713200e+01	3.182385e+06
1.718300e+01	3.180625e+06
1.723300e+01	3.187968e+06
1.728700e+01	3.172363e+06
1.734200e+01	3.167808e+06
1.738600e+01	3.187370e+06
1.743300e+01	3.176117e+06
1.748300e+01	3.117423e+06
1.753300e+01	3.127157e+06
1.758300e+01	3.159514e+06
1.763300e+01	3.165780e+06
1.768300e+01	3.170621e+06
1.773400e+01	3.170558e+06
1.778500e+01	3.176044e+06
1.783300e+01	3.188884e+06
1.788400e+01	3.184256e+06
1.793400e+01	3.184648e+06
1.798400e+01	3.182200e+06
1.803400e+01	3.191490e+06
1.808400e+01	3.192619e+06
1.813500e+01	3.203010e+06
1.818400e+01	3.190668e+06
1.823400e+01	3.190913e+06
1.828500e+01	3.184817e+06
1.833500e+01	3.193730e+06
1.838500e+01	3.196814e+06
1.843500e+01	3.202685e+06
1.848500e+01	3.115422e+06
1.853500e+01	3.137493e+06
1.858600e+01	3.154797e+06
1.863500e+01	3.166772e+06
1.868500e+01	3.182624e+06
1.873500e+01	3.191985e+06
1.878500e+01	3.183381e+06
1.883600e+01	3.178636e+06
1.888600e+01	3.178122e+06
1.893500e+01	3.171522e+06
1.898600e+01	3.190319e+06
1.903600e+01	3.190452e+06
1.908700e+01	3.182188e+06
1.914000e+01	3.175626e+06
1.918600e+01	3.182821e+06
1.923700e+01	3.186153e+06
1.928800e+01	3.197592e+06
1.933600e+01	3.191425e+06
1.938700e+01	3.186340e+06
1.943700e+01	3.188892e+06
1.948700e+01	3.123205e+06
1.953700e+01	3.135870e+06
1.958700e+01	3.161054e+06
1.963700e+01	3.166819e+06
1.968800e+01	3.165629e+06
1.973700e+01	3.171382e+06
1.978800e+01	3.170028e+06
1.983800e+01	3.182899e+06
1.988700e+01	3.183538e+06
1.993800e+01	3.193974e+06
1.998800e+01	3.182607e+06
2.004100e+01	3.191486e+06
2.008800e+01	3.180243e+06
2.013800e+01	3.188554e+06
2.018800e+01	3.189852e+06
2.023900e+01	3.194162e+06
2.028900e+01	3.175624e+06
2.033900e+01	3.189935e+06
2.038900e+01	3.175740e+06
2.043800e+01	3.187802e+06
2.048900e+01	3.115984e+06
2.053800e+01	3.142033e+06
2.058900e+01	3.168189e+06
2.063900e+01	3.161688e+06
2.068900e+01	3.175959e+06
2.073900e+01	3.168675e+06
2.079000e+01	3.185696e+06
2.083900e+01	3.177685e+06
2.089000e+01	3.173122e+06
2.094000e+01	3.164926e+06
2.099000e+01	3.186904e+06
2.104000e+01	3.189573e+06
2.109400e+01	3.192197e+06
2.114000e+01	3.184663e+06
2.119000e+01	3.183252e+06
2.124000e+01	3.183030e+06
2.129000e+01	3.196050e+06
2.134200e+01	3.194056e+06
2.139000e+01	3.201272e+06
2.144000e+01	3.199706e+06
2.149100e+01	3.109256e+06
2.154100e+01	3.135995e+06
2.159100e+01	3.158475e+06
2.164100e+01	3.174416e+06
2.169400e+01	3.170538e+06
2.174100e+01	3.181794e+06
2.179100e+01	3.174886e+06
2.184100e+01	3.175141e+06
2.189100e+01	3.184029e+06
2.194100e+01	3.185797e+06
2.199200e+01	3.181372e+06
2.204200e+01	3.184168e+06
2.209200e+01	3.168631e+06
2.214200e+01	3.181255e+06
2.219200e+01	3.184168e+06
2.224200e+01	3.191726e+06
2.229200e+01	3.194160e+06
2.234200e+01	3.193418e+06
2.239300e+01	3.190731e+06
2.244300e+01	3.175109e+06
2.249300e+01	3.128961e+06
2.254300e+01	3.146257e+06
2.259200e+01	3.170805e+06
2.264200e+01	3.164639e+06
2.269300e+01	3.152708e+06
2.274200e+01	3.175465e+06
2.279300e+01	3.186555e+06
2.284400e+01	3.181583e+06
2.289300e+01	3.198915e+06
2.294400e+01	3.183764e+06
2.299400e+01	3.197814e+06
2.304300e+01	3.185800e+06
2.309300e+01	3.195632e+06
2.314400e+01	3.191452e+06
2.319400e+01	3.185050e+06
2.325400e+01	3.175791e+06
2.329400e+01	3.167020e+06
2.334400e+01	3.184609e+06
2.339400e+01	3.178905e+06
2.344400e+01	3.194763e+06
2.349400e+01	3.125892e+06
2.354400e+01	3.143745e+06
2.359700e+01	3.153204e+06
2.364400e+01	3.173901e+06
2.369400e+01	3.170820e+06
2.374600e+01	3.185226e+06
2.379500e+01	3.180591e+06
2.384500e+01	3.176737e+06
2.389500e+01	3.165587e+06
2.394600e+01	3.169233e+06
2.399600e+01	3.179584e+06
2.404500e+01	3.188748e+06
2.409500e+01	3.193690e+06
2.414600e+01	3.169831e+06
2.419600e+01	3.186629e+06
2.424600e+01	3.185950e+06
2.429600e+01	3.194153e+06
2.434600e+01	3.191093e+06
2.439600e+01	3.186038e+06
2.444600e+01	3.171535e+06
2.449600e+01	3.117873e+06
2.454600e+01	3.131455e+06
2.459700e+01	3.166790e+06
2.464700e+01	3.159925e+06
2.469700e+01	3.180662e+06
2.474700e+01	3.171392e+06
2.479700e+01	3.174635e+06
2.484700e+01	3.172538e+06
2.489700e+01	3.181347e+06
2.494700e+01	3.188921e+06
2.500100e+01	3.178755e+06
2.504700e+01	3.180326e+06
2.509800e+01	3.168892e+06
2.514700e+01	3.186978e+06
2.519700e+01	3.182489e+06
2.524700e+01	3.188398e+06
2.529800e+01	3.183265e+06
2.534800e+01	3.187592e+06
2.539800e+01	3.177124e+06
2.544800e+01	3.178027e+06
2.549800e+01	3.118524e+06
2.554800e+01	3.151840e+06
2.559800e+01	3.151355e+06
2.564900e+01	3.156636e+06
2.569900e+01	3.154727e+06
2.574900e+01	3.174571e+06
2.579900e+01	3.179820e+06
2.584800e+01	3.183126e+06
2.589800e+01	3.184633e+06
2.594900e+01	3.182337e+06
2.599900e+01	3.177399e+06
2.604900e+01	3.175076e+06
2.609900e+01	3.189671e+06
2.614900e+01	3.184290e+06
2.619900e+01	3.190811e+06
2.625000e+01	3.167656e+06
2.630000e+01	3.177216e+06
2.635000e+01	3.183185e+06
2.640000e+01	3.193359e+06
2.645000e+01	3.172422e+06
2.650000e+01	3.129035e+06
2.655000e+01	3.139231e+06
2.660000e+01	3.155192e+06
2.665000e+01	3.171121e+06
2.670000e+01	3.175311e+06
2.675400e+01	3.174147e+06
2.680100e+01	3.172473e+06
2.685100e+01	3.163432e+06
2.690100e+01	3.164580e+06
2.695000e+01	3.175111e+06
2.700100e+01	3.180793e+06
2.705100e+01	3.189384e+06
2.710100e+01	3.176881e+06
2.715200e+01	3.184770e+06
2.720200e+01	3.172341e+06
2.725100e+01	3.193065e+06
2.730200e+01	3.191109e+06
2.735200e+01	3.193506e+06
2.740200e+01	3.181125e+06
2.745200e+01	3.147002e+06
2.750200e+01	3.115594e+06
2.755400e+01	3.141715e+06
2.760300e+01	3.159169e+06
2.765300e+01	3.171524e+06
2.770200e+01	3.175075e+06
2.775200e+01	3.159476e+06
2.781000e+01	3.169905e+06
2.785500e+01	3.177086e+06
2.790300e+01	3.190444e+06
2.795300e+01	3.175416e+06
2.800500e+01	3.185933e+06
2.805300e+01	3.155662e+06
2.810300e+01	3.176580e+06
2.815400e+01	3.177482e+06
2.820300e+01	3.182087e+06
2.826000e+01	3.177488e+06
2.830300e+01	3.180457e+06
2.835400e+01	3.181600e+06
2.840300e+01	3.179422e+06
2.845400e+01	3.168033e+06
2.850400e+01	3.105292e+06
2.855400e+01	3.141752e+06
2.860400e+01	3.150631e+06
2.865400e+01	3.156674e+06
2.870400e+01	3.164319e+06
2.875400e+01	3.174744e+06
2.880500e+01	3.169494e+06
2.885500e+01	3.169868e+06
2.890500e+01	3.160008e+06
2.895500e+01	3.179993e+06
2.900500e+01	3.168588e+06
2.905500e+01	3.179781e+06
2.910500e+01	3.178344e+06
2.915500e+01	3.177772e+06
2.920500e+01	3.173988e+06
2.925500e+01	3.166870e+06
2.930600e+01	3.165644e+06
2.935600e+01	3.181027e+06
2.940500e+01	3.186840e+06
2.945500e+01	3.160776e+06
2.950500e+01	3.111194e+06
2.955600e+01	3.134749e+06
2.960600e+01	3.159062e+06
2.965600e+01	3.160705e+06
2.970600e+01	3.172209e+06
2.975600e+01	3.151382e+06
2.980600e+01	3.173502e+06
2.985600e+01	3.151188e+06
2.990700e+01	3.178411e+06
2.995600e+01	3.169892e+06
3.000600e+01	3.168115e+06
3.005700e+01	3.168732e+06
3.010700e+01	3.175245e+06
3.015700e+01	3.173980e+06
3.021000e+01	3.180460e+06
3.026000e+01	3.172686e+06
3.030700e+01	3.180248e+06
3.035700e+01	3.176417e+06
3.040700e+01	3.164681e+06
3.045700e+01	3.144838e+06
3.050700e+01	3.099103e+06
3.055700e+01	3.144219e+06
3.061000e+01	3.142827e+06
3.065800e+01	3.163739e+06
3.070800e+01	3.156571e+06
3.075800e+01	3.176667e+06
3.080900e+01	3.160641e+06
3.085800e+01	3.176386e+06
3.090800e+01	3.173374e+06
3.095800e+01	3.169897e+06
3.100800e+01	3.157208e+06
3.105800e+01	3.158560e+06
3.110900e+01	3.169428e+06
3.115900e+01	3.178169e+06
3.120900e+01	3.166102e+06
3.125800e+01	3.167935e+06
3.130900e+01	3.163466e+06
3.136000e+01	3.170570e+06
3.140900e+01	3.182602e+06
3.146000e+01	3.152561e+06
3.150900e+01	3.116853e+06
3.156000e+01	3.128419e+06
3.161000e+01	3.148383e+06
3.166000e+01	3.136153e+06
3.171000e+01	3.153329e+06
3.176000e+01	3.158445e+06
3.181000e+01	3.155429e+06
3.186000e+01	3.165142e+06
3.191000e+01	3.159650e+06
3.196000e+01	3.165222e+06
3.201000e+01	3.168222e+06
3.206000e+01	3.173075e+06
3.211100e+01	3.170886e+06
3.216100e+01	3.172935e+06
3.221100e+01	3.160052e+06
3.226100e+01	3.166568e+06
3.231000e+01	3.169385e+06
3.236100e+01	3.182690e+06
3.241100e+01	3.164973e+06
3.246100e+01	3.141160e+06
3.251100e+01	3.098344e+06
3.256200e+01	3.138795e+06
3.261200e+01	3.150197e+06
3.266200e+01	3.158780e+06
3.271200e+01	3.150313e+06
3.276200e+01	3.156836e+06
3.281200e+01	3.150145e+06
3.286100e+01	3.160928e+06
3.291200e+01	3.167934e+06
3.296200e+01	3.163218e+06
3.301200e+01	3.164067e+06
3.306200e+01	3.154173e+06
3.311300e+01	3.172302e+06
3.316200e+01	3.167261e+06
3.321300e+01	3.171041e+06
3.326200e+01	3.165242e+06
3.331300e+01	3.176644e+06
3.336200e+01	3.167659e+06
3.341200e+01	3.166206e+06
3.346300e+01	3.129542e+06
3.351300e+01	3.120778e+06
3.356500e+01	3.145151e+06
3.361300e+01	3.149852e+06
3.366300e+01	3.143939e+06
3.371400e+01	3.184375e+06
3.376400e+01	3.166261e+06
3.381400e+01	3.166836e+06
3.386400e+01	3.171323e+06
3.391300e+01	3.165724e+06
3.396400e+01	3.168033e+06
3.401400e+01	3.152966e+06
3.406500e+01	3.165634e+06
3.411400e+01	3.161269e+06
3.416400e+01	3.182929e+06
3.421500e+01	3.158541e+06
3.426500e+01	3.167399e+06
3.431500e+01	3.172976e+06
3.437000e+01	3.176318e+06
3.441500e+01	3.173033e+06
3.446700e+01	3.146248e+06
3.451500e+01	3.113943e+06
3.456500e+01	3.140098e+06
3.461500e+01	3.144567e+06
3.466500e+01	3.146295e+06
3.471500e+01	3.163897e+06
3.476600e+01	3.162050e+06
3.481600e+01	3.161461e+06
3.486500e+01	3.153324e+06
3.491600e+01	3.176116e+06
3.496600e+01	3.170522e+06
3.501700e+01	3.182599e+06
3.506600e+01	3.169646e+06
3.511600e+01	3.174421e+06
3.516600e+01	3.169062e+06
3.521600e+01	3.168637e+06
3.526700e+01	3.155647e+06
3.531600e+01	3.177766e+06
3.536800e+01	3.169829e+06
3.541700e+01	3.171372e+06
3.546700e+01	3.135999e+06
3.551700e+01	3.122905e+06
3.556700e+01	3.150090e+06
3.561700e+01	3.150850e+06
3.566700e+01	3.160121e+06
3.571800e+01	3.153914e+06
3.576800e+01	3.172094e+06
3.581700e+01	3.167666e+06
3.586800e+01	3.160904e+06
3.591800e+01	3.165114e+06
3.596800e+01	3.171022e+06
3.601800e+01	3.168660e+06
3.606700e+01	3.173213e+06
3.611700e+01	3.168951e+06
3.616900e+01	3.185152e+06
3.623000e+01	3.175137e+06
3.626800e+01	3.178562e+06
3.631800e+01	3.171049e+06
3.636900e+01	3.178548e+06
3.641900e+01	3.164066e+06
3.647000e+01	3.137349e+06
3.651800e+01	3.116353e+06
3.657000e+01	3.137377e+06
3.662000e+01	3.144424e+06
3.667000e+01	3.152446e+06
3.672000e+01	3.171389e+06
3.677000e+01	3.177485e+06
3.681900e+01	3.172855e+06
3.686900e+01	3.160313e+06
3.691900e+01	3.172147e+06
3.697000e+01	3.178286e+06
3.702000e+01	3.184463e+06
3.706900e+01	3.169174e+06
3.712000e+01	3.174547e+06
3.717000e+01	3.174000e+06
3.722000e+01	3.175305e+06
3.727000e+01	3.177393e+06
3.732000e+01	3.182475e+06
3.737700e+01	3.195145e+06
3.742700e+01	3.171833e+06
3.747100e+01	3.144110e+06
3.752100e+01	3.109109e+06
3.757100e+01	3.155374e+06
3.762100e+01	3.151163e+06
3.767200e+01	3.156847e+06
3.772100e+01	3.162419e+06
3.777000e+01	3.176295e+06
3.782200e+01	3.166891e+06
3.787100e+01	3.176331e+06
3.792200e+01	3.180099e+06
3.797100e+01	3.188644e+06
3.802100e+01	3.175155e+06
3.807200e+01	3.172484e+06
3.812200e+01	3.168855e+06
3.817200e+01	3.183994e+06
