Elapsed Time (Seconds)	Centroid Row (Pixels)
0.000000e+00	1.567022e+02
5.000000e-02	1.567146e+02
1.000000e-01	1.566947e+02
1.500000e-01	1.566827e+02
2.010000e-01	1.567007e+02
2.510000e-01	1.567154e+02
3.000000e-01	1.566925e+02
3.500000e-01	1.566911e+02
4.000000e-01	1.567084e+02
4.510000e-01	1.566930e+02
5.010000e-01	1.566957e+02
5.510000e-01	1.566868e+02
6.010000e-01	1.566833e+02
6.520000e-01	1.567023e+02
7.020000e-01	1.566797e+02
7.520000e-01	1.566922e+02
8.020000e-01	1.566839e+02
8.520000e-01	1.566941e+02
9.020000e-01	1.566750e+02
9.510000e-01	1.566827e+02
1.002000e+00	1.566911e+02
1.052000e+00	1.567074e+02
1.102000e+00	1.566873e+02
1.153000e+00	1.566946e+02
1.202000e+00	1.566843e+02
1.253000e+00	1.566919e+02
1.302000e+00	1.567012e+02
1.352000e+00	1.566770e+02
1.403000e+00	1.566971e+02
1.453000e+00	1.566869e+02
1.503000e+00	1.566709e+02
1.553000e+00	1.566951e+02
1.603000e+00	1.566637e+02
1.654000e+00	1.567013e+02
1.703000e+00	1.566879e+02
1.754000e+00	1.566356e+02
1.803000e+00	1.566896e+02
1.854000e+00	1.566790e+02
1.904000e+00	1.566699e+02
1.954000e+00	1.566584e+02
2.004000e+00	1.566638e+02
2.054000e+00	1.566737e+02
2.104000e+00	1.566853e+02
2.154000e+00	1.566442e+02
2.205000e+00	1.566656e+02
2.255000e+00	1.566725e+02
2.305000e+00	1.566859e+02
2.355000e+00	1.566685e+02
2.405000e+00	1.566597e+02
2.455000e+00	1.566571e+02
2.504000e+00	1.566688e+02
2.555000e+00	1.566614e+02
2.605000e+00	1.566603e+02
2.655000e+00	1.566690e+02
2.707000e+00	1.566452e+02
2.756000e+00	1.566637e+02
2.806000e+00	1.566262e+02
2.856000e+00	1.566719e+02
2.906000e+00	1.566856e+02
2.956000e+00	1.566439e+02
3.005000e+00	1.566491e+02
3.056000e+00	1.566636e+02
3.106000e+00	1.566625e+02
3.156000e+00	1.566604e+02
3.206000e+00	1.566345e+02
3.257000e+00	1.566673e+02
3.306000e+00	1.566598e+02
3.356000e+00	1.576518e+02
3.407000e+00	1.570144e+02
3.457000e+00	1.560760e+02
3.507000e+00	1.560969e+02
3.556000e+00	1.561550e+02
3.607000e+00	1.563294e+02
3.657000e+00	1.564653e+02
3.707000e+00	1.565630e+02
3.757000e+00	1.565668e+02
3.807000e+00	1.565928e+02
3.857000e+00	1.566222e+02
3.908000e+00	1.566114e+02
3.960000e+00	1.566105e+02
4.007000e+00	1.566200e+02
4.058000e+00	1.566433e+02
4.108000e+00	1.566348e+02
4.158000e+00	1.566207e+02
4.208000e+00	1.566168e+02
4.264000e+00	1.566123e+02
4.309000e+00	1.566544e+02
4.358000e+00	1.576946e+02
4.408000e+00	1.569418e+02
4.458000e+00	1.560393e+02
4.509000e+00	1.560773e+02
4.558000e+00	1.561241e+02
4.609000e+00	1.563341e+02
4.658000e+00	1.564556e+02
4.709000e+00	1.565053e+02
4.759000e+00	1.565397e+02
4.809000e+00	1.565557e+02
4.860000e+00	1.565912e+02
4.910000e+00	1.566088e+02
4.959000e+00	1.566023e+02
5.010000e+00	1.566034e+02
5.060000e+00	1.566022e+02
5.110000e+00	1.566198e+02
5.160000e+00	1.566091e+02
5.219000e+00	1.565958e+02
5.260000e+00	1.566344e+02
5.310000e+00	1.566167e+02
5.361000e+00	1.578218e+02
5.411000e+00	1.567874e+02
5.461000e+00	1.560235e+02
5.510000e+00	1.560590e+02
5.561000e+00	1.561306e+02
5.611000e+00	1.562969e+02
5.661000e+00	1.564238e+02
5.711000e+00	1.564846e+02
5.761000e+00	1.565424e+02
5.811000e+00	1.565508e+02
5.862000e+00	1.565813e+02
5.912000e+00	1.565906e+02
5.961000e+00	1.565648e+02
6.012000e+00	1.565689e+02
6.063000e+00	1.566059e+02
6.111000e+00	1.566111e+02
6.162000e+00	1.566122e+02
6.212000e+00	1.565849e+02
6.262000e+00	1.565949e+02
6.311000e+00	1.566040e+02
6.362000e+00	1.579279e+02
6.412000e+00	1.565947e+02
6.462000e+00	1.559954e+02
6.512000e+00	1.560401e+02
6.562000e+00	1.560946e+02
6.613000e+00	1.563057e+02
6.663000e+00	1.564400e+02
6.713000e+00	1.564931e+02
6.763000e+00	1.564940e+02
6.812000e+00	1.565039e+02
6.863000e+00	1.565470e+02
6.913000e+00	1.565587e+02
6.963000e+00	1.565602e+02
7.013000e+00	1.565482e+02
7.063000e+00	1.565811e+02
7.113000e+00	1.565800e+02
7.163000e+00	1.565688e+02
7.213000e+00	1.565434e+02
7.264000e+00	1.565862e+02
7.314000e+00	1.565858e+02
7.364000e+00	1.580372e+02
7.414000e+00	1.564195e+02
7.466000e+00	1.559797e+02
7.514000e+00	1.560052e+02
7.564000e+00	1.560841e+02
7.615000e+00	1.562544e+02
7.664000e+00	1.563927e+02
7.714000e+00	1.564485e+02
7.765000e+00	1.564766e+02
7.815000e+00	1.565119e+02
7.865000e+00	1.565308e+02
7.915000e+00	1.565415e+02
7.965000e+00	1.565265e+02
8.015000e+00	1.565478e+02
8.065000e+00	1.565477e+02
8.115000e+00	1.565496e+02
8.166000e+00	1.565643e+02
8.216000e+00	1.565394e+02
8.265000e+00	1.565711e+02
8.315000e+00	1.565604e+02
8.369000e+00	1.580763e+02
8.415000e+00	1.562413e+02
8.467000e+00	1.559771e+02
8.516000e+00	1.560246e+02
8.566000e+00	1.560859e+02
8.616000e+00	1.562561e+02
8.666000e+00	1.564137e+02
8.716000e+00	1.564640e+02
8.766000e+00	1.564559e+02
8.817000e+00	1.565220e+02
8.866000e+00	1.565114e+02
8.916000e+00	1.565428e+02
8.968000e+00	1.565201e+02
9.017000e+00	1.565387e+02
9.067000e+00	1.565648e+02
9.117000e+00	1.565501e+02
9.167000e+00	1.565456e+02
9.218000e+00	1.565440e+02
9.267000e+00	1.565288e+02
9.318000e+00	1.565738e+02
9.368000e+00	1.581347e+02
9.417000e+00	1.561243e+02
9.468000e+00	1.559591e+02
9.518000e+00	1.559655e+02
9.568000e+00	1.560765e+02
9.619000e+00	1.562333e+02
9.668000e+00	1.563770e+02
9.718000e+00	1.564430e+02
9.768000e+00	1.564167e+02
9.819000e+00	1.564785e+02
9.868000e+00	1.564802e+02
9.918000e+00	1.565116e+02
9.968000e+00	1.565097e+02
1.002000e+01	1.564892e+02
1.006900e+01	1.565365e+02
1.011900e+01	1.565283e+02
1.016900e+01	1.565136e+02
1.021900e+01	1.565295e+02
1.026900e+01	1.565430e+02
1.032100e+01	1.565367e+02
1.037700e+01	1.581804e+02
1.042000e+01	1.560417e+02
1.047000e+01	1.559161e+02
1.051900e+01	1.559591e+02
1.056900e+01	1.560227e+02
1.062000e+01	1.562266e+02
1.067000e+01	1.563562e+02
1.072400e+01	1.564238e+02
1.077000e+01	1.564454e+02
1.082000e+01	1.564765e+02
1.087100e+01	1.564895e+02
1.092000e+01	1.564903e+02
1.097100e+01	1.564917e+02
1.102000e+01	1.564905e+02
1.107000e+01	1.565160e+02
