Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	3.452907e+06
5.000000e-02	3.451594e+06
1.000000e-01	3.458541e+06
1.500000e-01	3.473146e+06
2.010000e-01	3.467780e+06
2.510000e-01	3.471259e+06
3.000000e-01	3.444600e+06
3.500000e-01	3.453946e+06
4.000000e-01	3.459413e+06
4.510000e-01	3.480425e+06
5.010000e-01	3.486180e+06
5.510000e-01	3.472762e+06
6.010000e-01	3.443909e+06
6.520000e-01	3.454197e+06
7.020000e-01	3.478921e+06
7.520000e-01	3.461460e+06
8.020000e-01	3.461547e+06
8.520000e-01	3.452078e+06
9.020000e-01	3.441740e+06
9.510000e-01	3.460114e+06
1.002000e+00	3.451047e+06
1.052000e+00	3.468848e+06
1.102000e+00	3.484460e+06
1.153000e+00	3.465184e+06
1.202000e+00	3.471551e+06
1.253000e+00	3.451178e+06
1.302000e+00	3.468564e+06
1.352000e+00	3.457459e+06
1.403000e+00	3.486875e+06
1.453000e+00	3.440566e+06
1.503000e+00	3.454739e+06
1.553000e+00	3.471511e+06
1.603000e+00	3.439192e+06
1.654000e+00	3.483723e+06
1.703000e+00	3.474320e+06
1.754000e+00	3.456904e+06
1.803000e+00	3.464797e+06
1.854000e+00	3.456273e+06
1.904000e+00	3.462691e+06
1.954000e+00	3.474355e+06
2.004000e+00	3.461708e+06
2.054000e+00	3.451054e+06
2.104000e+00	3.460759e+06
2.154000e+00	3.466733e+06
2.205000e+00	3.467210e+06
2.255000e+00	3.469675e+06
2.305000e+00	3.473342e+06
2.355000e+00	3.426857e+06
2.405000e+00	3.474548e+06
2.455000e+00	3.452761e+06
2.504000e+00	3.465956e+06
2.555000e+00	3.464306e+06
2.605000e+00	3.455259e+06
2.655000e+00	3.453448e+06
2.707000e+00	3.457751e+06
2.756000e+00	3.454395e+06
2.806000e+00	3.446783e+06
2.856000e+00	3.465161e+06
2.906000e+00	3.481555e+06
2.956000e+00	3.440799e+06
3.005000e+00	3.459517e+06
3.056000e+00	3.445411e+06
3.106000e+00	3.471061e+06
3.156000e+00	3.467049e+06
3.206000e+00	3.447068e+06
3.257000e+00	3.451263e+06
3.306000e+00	3.427196e+06
3.356000e+00	3.492801e+06
3.407000e+00	3.357327e+06
3.457000e+00	3.368116e+06
3.507000e+00	3.384058e+06
3.556000e+00	3.390609e+06
3.607000e+00	3.396619e+06
3.657000e+00	3.421869e+06
3.707000e+00	3.429507e+06
3.757000e+00	3.436946e+06
3.807000e+00	3.414626e+06
3.857000e+00	3.432099e+06
3.908000e+00	3.412238e+06
3.960000e+00	3.432157e+06
4.007000e+00	3.423173e+06
4.058000e+00	3.442691e+06
4.108000e+00	3.457022e+06
4.158000e+00	3.426112e+06
4.208000e+00	3.437485e+06
4.264000e+00	3.422386e+06
4.309000e+00	3.453122e+06
4.358000e+00	3.450612e+06
4.408000e+00	3.340266e+06
4.458000e+00	3.316342e+06
4.509000e+00	3.367136e+06
4.558000e+00	3.367024e+06
4.609000e+00	3.407015e+06
4.658000e+00	3.402040e+06
4.709000e+00	3.412925e+06
4.759000e+00	3.405442e+06
4.809000e+00	3.410355e+06
4.860000e+00	3.413921e+06
4.910000e+00	3.435224e+06
4.959000e+00	3.429638e+06
5.010000e+00	3.413477e+06
5.060000e+00	3.416562e+06
5.110000e+00	3.416610e+06
5.160000e+00	3.426493e+06
5.219000e+00	3.414756e+06
5.260000e+00	3.424064e+06
5.310000e+00	3.432429e+06
5.361000e+00	3.458451e+06
5.411000e+00	3.322482e+06
5.461000e+00	3.352676e+06
5.510000e+00	3.357115e+06
5.561000e+00	3.401978e+06
5.611000e+00	3.383310e+06
5.661000e+00	3.383586e+06
5.711000e+00	3.384724e+06
5.761000e+00	3.410237e+06
5.811000e+00	3.411091e+06
5.862000e+00	3.430355e+06
5.912000e+00	3.432917e+06
5.961000e+00	3.388274e+06
6.012000e+00	3.411294e+06
6.063000e+00	3.420954e+06
6.111000e+00	3.428380e+06
6.162000e+00	3.436797e+06
6.212000e+00	3.405628e+06
6.262000e+00	3.393013e+06
6.311000e+00	3.419571e+06
6.362000e+00	3.443381e+06
6.412000e+00	3.323878e+06
6.462000e+00	3.331940e+06
6.512000e+00	3.368987e+06
6.562000e+00	3.371006e+06
6.613000e+00	3.381121e+06
6.663000e+00	3.393393e+06
6.713000e+00	3.399656e+06
6.763000e+00	3.404470e+06
6.812000e+00	3.383636e+06
6.863000e+00	3.381244e+06
6.913000e+00	3.377583e+06
6.963000e+00	3.392712e+06
7.013000e+00	3.401583e+06
7.063000e+00	3.419235e+06
7.113000e+00	3.403746e+06
7.163000e+00	3.400858e+06
7.213000e+00	3.381134e+06
7.264000e+00	3.414966e+06
7.314000e+00	3.417704e+06
7.364000e+00	3.424552e+06
7.414000e+00	3.282703e+06
7.466000e+00	3.290372e+06
7.514000e+00	3.346809e+06
7.564000e+00	3.354393e+06
7.615000e+00	3.365022e+06
7.664000e+00	3.383808e+06
7.714000e+00	3.372733e+06
7.765000e+00	3.381208e+06
7.815000e+00	3.395159e+06
7.865000e+00	3.392450e+06
7.915000e+00	3.401140e+06
7.965000e+00	3.383043e+06
8.015000e+00	3.383663e+06
8.065000e+00	3.362818e+06
8.115000e+00	3.380072e+06
8.166000e+00	3.391628e+06
8.216000e+00	3.392252e+06
8.265000e+00	3.403926e+06
8.315000e+00	3.393279e+06
8.369000e+00	3.411193e+06
8.415000e+00	3.273019e+06
8.467000e+00	3.318967e+06
8.516000e+00	3.350512e+06
8.566000e+00	3.357329e+06
8.616000e+00	3.345083e+06
8.666000e+00	3.352108e+06
8.716000e+00	3.363281e+06
8.766000e+00	3.387716e+06
8.817000e+00	3.383742e+06
8.866000e+00	3.382278e+06
8.916000e+00	3.384299e+06
8.968000e+00	3.371183e+06
9.017000e+00	3.379081e+06
9.067000e+00	3.405663e+06
9.117000e+00	3.391387e+06
9.167000e+00	3.385054e+06
9.218000e+00	3.359700e+06
9.267000e+00	3.355395e+06
9.318000e+00	3.386167e+06
9.368000e+00	3.427255e+06
9.417000e+00	3.260980e+06
9.468000e+00	3.303717e+06
9.518000e+00	3.336476e+06
9.568000e+00	3.339548e+06
9.619000e+00	3.355688e+06
9.668000e+00	3.358851e+06
9.718000e+00	3.383354e+06
9.768000e+00	3.348441e+06
9.819000e+00	3.373613e+06
9.868000e+00	3.325641e+06
9.918000e+00	3.397470e+06
9.968000e+00	3.368988e+06
1.002000e+01	3.383252e+06
