Elapsed Time (Seconds)	Centroid Row (Pixels)
0.000000e+00	1.220437e+02
5.000000e-02	1.220182e+02
1.030000e-01	1.220271e+02
1.510000e-01	1.220100e+02
2.010000e-01	1.220380e+02
2.520000e-01	1.220076e+02
3.010000e-01	1.220333e+02
3.510000e-01	1.220133e+02
4.020000e-01	1.220328e+02
4.520000e-01	1.219935e+02
5.050000e-01	1.220112e+02
5.520000e-01	1.220196e+02
6.010000e-01	1.220080e+02
6.520000e-01	1.220263e+02
7.010000e-01	1.220013e+02
7.590000e-01	1.220267e+02
8.020000e-01	1.220075e+02
8.550000e-01	1.220011e+02
9.020000e-01	1.220079e+02
9.520000e-01	1.220252e+02
1.002000e+00	1.219864e+02
1.053000e+00	1.220332e+02
1.103000e+00	1.219959e+02
1.153000e+00	1.220190e+02
1.203000e+00	1.219807e+02
1.253000e+00	1.220064e+02
1.303000e+00	1.220004e+02
1.353000e+00	1.220166e+02
1.403000e+00	1.220016e+02
1.454000e+00	1.219978e+02
1.504000e+00	1.219941e+02
1.554000e+00	1.219992e+02
1.603000e+00	1.219974e+02
1.654000e+00	1.219853e+02
1.704000e+00	1.219971e+02
1.757000e+00	1.219817e+02
1.804000e+00	1.220034e+02
1.855000e+00	1.219636e+02
1.904000e+00	1.220048e+02
1.955000e+00	1.219720e+02
2.004000e+00	1.220136e+02
2.054000e+00	1.219954e+02
2.104000e+00	1.220125e+02
2.155000e+00	1.219729e+02
2.205000e+00	1.219834e+02
2.255000e+00	1.219802e+02
2.305000e+00	1.219875e+02
2.355000e+00	1.219911e+02
2.406000e+00	1.219783e+02
2.456000e+00	1.219746e+02
2.505000e+00	1.219841e+02
2.555000e+00	1.219875e+02
2.606000e+00	1.219724e+02
2.656000e+00	1.219944e+02
2.706000e+00	1.224009e+02
2.755000e+00	1.223534e+02
2.806000e+00	1.218360e+02
2.856000e+00	1.218616e+02
2.910000e+00	1.218592e+02
2.960000e+00	1.219309e+02
3.006000e+00	1.219418e+02
3.057000e+00	1.220127e+02
3.106000e+00	1.219831e+02
3.156000e+00	1.220192e+02
3.207000e+00	1.220032e+02
3.256000e+00	1.220003e+02
3.307000e+00	1.220103e+02
3.357000e+00	1.219868e+02
3.407000e+00	1.220111e+02
3.458000e+00	1.219958e+02
3.507000e+00	1.220120e+02
3.558000e+00	1.219911e+02
3.607000e+00	1.219891e+02
3.657000e+00	1.220031e+02
3.707000e+00	1.225076e+02
3.760000e+00	1.223322e+02
3.808000e+00	1.218631e+02
3.858000e+00	1.218670e+02
3.908000e+00	1.218835e+02
3.958000e+00	1.219260e+02
4.008000e+00	1.219911e+02
4.058000e+00	1.220237e+02
4.109000e+00	1.220060e+02
4.159000e+00	1.220151e+02
4.208000e+00	1.220180e+02
4.258000e+00	1.220278e+02
4.308000e+00	1.220063e+02
4.359000e+00	1.220114e+02
4.409000e+00	1.220213e+02
4.459000e+00	1.220180e+02
4.509000e+00	1.220177e+02
4.559000e+00	1.220225e+02
4.609000e+00	1.220036e+02
4.659000e+00	1.220015e+02
4.709000e+00	1.225644e+02
4.760000e+00	1.222851e+02
4.809000e+00	1.218445e+02
4.859000e+00	1.218594e+02
4.909000e+00	1.218992e+02
4.960000e+00	1.219476e+02
5.010000e+00	1.219862e+02
5.060000e+00	1.219982e+02
5.110000e+00	1.220002e+02
5.160000e+00	1.219889e+02
5.211000e+00	1.220206e+02
5.261000e+00	1.220080e+02
5.311000e+00	1.220317e+02
5.361000e+00	1.219853e+02
5.410000e+00	1.220312e+02
5.460000e+00	1.220171e+02
5.511000e+00	1.220172e+02
5.561000e+00	1.220213e+02
5.612000e+00	1.220030e+02
5.661000e+00	1.220183e+02
5.711000e+00	1.226130e+02
5.762000e+00	1.222336e+02
5.812000e+00	1.218532e+02
5.862000e+00	1.218483e+02
5.912000e+00	1.218892e+02
5.962000e+00	1.219601e+02
6.012000e+00	1.219665e+02
6.062000e+00	1.220285e+02
6.112000e+00	1.219916e+02
6.162000e+00	1.220360e+02
6.212000e+00	1.219988e+02
6.263000e+00	1.220415e+02
6.312000e+00	1.220100e+02
6.362000e+00	1.220135e+02
6.412000e+00	1.220101e+02
6.463000e+00	1.220312e+02
6.515000e+00	1.220009e+02
6.563000e+00	1.220240e+02
6.613000e+00	1.220180e+02
6.663000e+00	1.220165e+02
6.713000e+00	1.226742e+02
6.764000e+00	1.221690e+02
6.814000e+00	1.218772e+02
6.863000e+00	1.218587e+02
6.913000e+00	1.219099e+02
6.963000e+00	1.219176e+02
7.013000e+00	1.220098e+02
7.064000e+00	1.219971e+02
7.114000e+00	1.220298e+02
7.165000e+00	1.220017e+02
7.214000e+00	1.220295e+02
7.264000e+00	1.220273e+02
7.314000e+00	1.220473e+02
7.365000e+00	1.220234e+02
7.415000e+00	1.220212e+02
7.465000e+00	1.220296e+02
7.514000e+00	1.220415e+02
7.565000e+00	1.220389e+02
7.615000e+00	1.219944e+02
